数据源,title,content
网站,央视新闻：已有多家航空公司出台发热旅客改期退票政策,天津航空宣布，自2020年1月15日起，卫生部门已在武汉天河机场T3航站楼入口设立体温监测点，对进入航站楼的所有旅客进行体温检测，如发现旅客存在发烧、发热现象，有关部门将对旅客采取临时隔离措施。为方便发热旅客改期或退票，航班日期在2020年1月15日-2月29日，由天津航空实际承运的国内航班，旅客可持加盖武汉天河机场卫生所印章的误机证明文件，办理免费改期一次或全额退票。  海南航空表示，为方便发热旅客改期或退票，航班日期在2020年1月15日-2月29日，由海南航空/大新华航空实际承运的国内航班，旅客可持加盖武汉天河机场卫生所印章的误机证明文件，办理免费改期7天（含）内航班一次或在客票有效期内前往海南航空直属售票处，为客票未使用部分办理免费退票；对于国际航班，可办理免费改期14天（含）内航班一次，或在客票有效期内前往海南航空直属售票处，为客票未使用部分办理免费退票。  据记者统计，截至1月21日中午，已出政策的航空公司包括南方航空、海南航空、深圳航空、天津航空、昆明航空、贵州多彩航空、西部航空、乌鲁木齐航空、华夏航空等。  此外，携程表示，针对此次疫情推出退改保障政策。被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场（港口）隔离劝返的用户，以及作为密切接触者的同行人，可免费取消携程平台预订的全部产品，损失由携程承担；针对即日起至1月31日春节期间武汉地区酒店、门票、用车订单，携程提供免费取消保障。目前武汉地区多数酒店接受协调，可无损退订。对于无法协调的酒店订单损失，携程将为用户承担。  去哪儿网表示，针对此次疫情，被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场（港口）隔离劝返的用户，以及作为密切接触者的同行人，可免费取消去哪儿网平台预订的度假类产品，损失由去哪儿网承担；针对即日起至1月31日春节期间武汉地区酒店、门票、用车订单，去哪儿网提供免费取消保障。目前武汉地区多数酒店接受协调，可无损退订；对于无法协调的酒店订单损失，去哪儿网将承担损失。  同时，去哪儿网表示，目前各航司陆续推出针对发热旅客的特殊退改政策，去哪儿网将全力按照航空公司政策为用户协调免费退订或减少损失。去哪儿网也将密切关注民航、铁路部门以及各个酒店的退订政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。  （原题为：《多航司出台发热旅客改期退票政策》）  (本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)
网站,武汉肺炎疫情进入防控关键期，家庭除菌至关重要,"临近春节,除了返乡与春运等春节关键词,近两天由武汉爆发的新型冠状病毒肺炎疫情也引发持续关注,截止1月20日 18时,我国境内累计报告发现新型冠状病毒感染的肺炎病例224例。截止目前各方专家仍对疫情透露出积极信号, 1月20日晚,国家卫健委高级别专家组组长钟南山在连线中表示,此次的新型冠状病毒与此前肆虐的SARS是完全不同的两种病毒,传染性没那么强,目前是防控的关键时期。采取必要的预防措施,可有效控制病毒扩散,减少感染可能性。面对疫情,鲨客提醒大家不必恐慌。重点是做好自身和家人的预防。除了注意个人卫生如勤洗手、出门佩戴合适的医用口罩外,春节期间走亲访友增多,家里的卫生也需高度重视,外出携带回来的细菌、开窗通风时带入的粉尘很容易聚集在家里的地面上,如果不进行及时有效的清洁,会威胁健康。如何才能有效去除地面细菌又不危害家人健康呢?一般大家会想到两种方式,即传统的拖把拖地或者使用化学制剂喷洒在地面上。但殊不知,使用化学制剂有可能产生二次危害,不利于家里的老人小孩以及免疫力低的家人的呼吸道健康。对于中国家庭来说,传统拖把仍然司空见惯。然而,传统拖把清洁不彻底反而容易滋生细菌,越拖越脏。鲨客致力于改变这一难题,发明了全新的“拖把新物种”——鲨客蒸汽除菌拖把,通过高温蒸汽除菌,产生120度高温蒸汽,可达到99.99%的除菌率及100%的除螨率;同时还能利用大蒸汽定点喷射技术与强效抓污技术,对地板上的顽固污渍进行快速溶解与抓取吸附,即拖即干,丝毫不留水渍污渍,杜绝二次污染。帮助你从此彻底清除家里的细菌烦恼。据悉,鲨客蒸汽拖把还有多种功能,既是除菌拖把,还可以搭配不同配件充当除螨仪、厨房油污清洁机、挂烫机。一机多用,堪称居家多功能清洁机,实现全屋清洁。在疫情扩散时期对于家庭除菌来说更是一个最好的选择,帮助守护室内健康免于细菌滋扰,更好的预防新型冠状病毒。这款产品上市一年多来备受好评,尤其深受母婴家庭的喜爱。截至目前鲨客蒸汽除菌拖把更是连续10个月位居天猫行业TOP1位置。鲨客负责人表示:“我们在反复的用户调研中发现,使用蒸汽拖把是健康可行且有效清除细菌的方式,我们希望能帮助更多的消费者做好日常除菌,在特殊时期也无需恐慌。“"
网站,美团、马蜂窝：即日起至1月31日武汉旅行订单可免费取消,来源标题：美团、马蜂窝：即日起至1月31日武汉旅行订单可免费取消  刚刚，美团针对此次新型冠状病毒肺炎疫情发布了旅行订单退改保障政策。即日起至1月31日，通过美团App和大众点评App预订的武汉市酒店、民宿、景区门票及度假的订单，均可免费取消。  具体退改政策如下：  即日起至1月31日，通过美团、大众点评预订的武汉市酒店、民宿、景区门票、度假的订单，均可联系客服免费取消，美团为用户免费取消保障。  被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场、港口、车站隔离劝返的用户，以及作为密切接触者的同行人，可免费取消通过美团、大众点评预订的酒店、民宿、景区门票、度假的订单。  美团将密切关注民航、铁路部门的退改签政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。针对已预订但未出行旅客的退票、改签需求，美团将竭尽全力与航空公司等产品提供方沟通，协助用户进行机票退改签服务，火车票也将和铁路部门的退改签政策保持一致。  此外，针对新型冠状病毒肺炎疫情，马蜂窝旅游也启动了突发应急机制，为平台用户提供产品退改保障政策：  被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场(港口)隔离劝返的用户，以及作为密切接触者的同行人，可免费取消在马蜂窝预订的全部订单，损失由平台承担。  对于航司、铁路部门及平台供应商有相关退改政策的，马蜂窝将在执行相关政策的基础上，竭力协助用户办理退改业务。期间暂无政策的，马蜂窝将协助有退改需求的用户与产品提供方沟通，尽力为用户协调免费退订或减少损失。出行日期为2020年1月21日至2020年1月31日，目的地为武汉的酒店、门票订单，马蜂窝为出行用户提供无损退改保障。  马蜂窝也将持续关注防疫动态，跟进民航、铁路及其他交通部门、平台供应商的退改政策，及时响应国家相关部门要求，全力为用户提供出行保障和服务。  此外，北京青年报记者从众信旅游获悉，其在1月初已经制订《2020春节应急安全工作预案》，并成立了由集团领导和各业务线分管领导负责的应急安全指挥组，要求各业务板块召集动员会，向下逐级落实质量安全责任、分层细化具体工作要求。  在发生新型肺炎情况后，众信旅游又在工作预案中增补了相关防范和应急工作内容，并要求全体一线服务人员学习、执行到位。
网站,武汉新增17例新型冠状病毒肺炎病例 新增的病例具体是哪些群体,武汉出现的病毒肺炎已持续多日，普通人应该如何预?那武汉新增17例新型冠状病毒肺炎病例，新增的病例具体是哪些群体?下面，我们一起来看看吧。   截止昨天，武汉新增17例新型冠状病毒肺炎病例，新增的病例具体是哪些群体，新型冠状病毒应该如何预防?   据武汉市卫健委消息：2020年1月17日，国家和省市专家对全市各社区卫生服务中心筛查的、各医院发热门诊发现并收治的不明原因肺炎部分病例，依据其临床表现、流行病学史，以及采用优化后的检测试剂盒检测出的新型冠状病毒核酸阳性结果进行综合研判，新认定新型冠状病毒感染的肺炎病例17例。   17例患者中，男性12例、女性5例;60岁以下9例，60岁及以上8例，年龄最小的30岁，年龄最大的79岁;发病日期在2020年1月13日前;首发症状为发热、咳嗽或发热伴咳嗽;3例为重症，其余病情稳定，除2例病情危重暂不适宜转运外，其余15例均已转运至武汉市金银潭医院集中治疗。   17例新增病例的相关流行病学调查正深入进行，其密切接触者也正在追踪中。   下一步，武汉市将继续扩大搜索范围，确定疑似病例，并开展采样检测。   武汉新型冠状病毒肺炎病例的 具体数据   截至1月17日24时，武汉市累计报告新型冠状病毒感染的肺炎病例62例，已治愈出院19例，在治重症8例，死亡2例，其余患者病情稳定，患者均在武汉市定点医疗机构接受隔离治疗。累计追踪密切接触者763人，已解除医学观察681人，尚在接受医学观察82人，密切接触者中，没有发现相关病例。新增病例的流行病学调查、密切接触者追踪排查正在进行中。   普通人应该如何预防?   1、出门戴口罩，建议选择N95口罩或医用外科口罩。当口罩损坏、受血渍或飞沫等污染、或使用者感到呼吸阻力变大时，应立刻更换;如无这些情形，也应该定期更换，以每天使用3小时为例，N95口罩可每周更换一个，医用外科口罩可每天或隔天更换。   2、尽量不去人多的地方，勤洗手、洗澡、换衣、通风。   3、喷嚏、咳嗽时用纸巾或手肘挡住口鼻，身边有发热、咳嗽的人时注意保持距离。   冠状病毒是一类主要引起呼吸道、肠道疾病的病原体。这类病毒颗粒的表面有许多规则排列的突起，整个病毒颗粒就像一顶帝王的皇冠，因此得名“冠状病毒”。冠状病毒除人类以外，还可感染猪、牛、猫、犬、貂、骆驼、蝙蝠、老鼠、刺猬等多种哺乳动物以及多种鸟类。目前为止，已知的人类冠状病毒共有六种。其中四种冠状病毒在人群中较为常见，致病性较低，一般仅引起类似普通感冒的轻微呼吸道症状。另外两种冠状病毒——严重急性呼吸综合征冠状病毒和中东呼吸综合征冠状病毒，也就是我们简称的SARS冠状病毒和MERS冠状病毒，可引起严重的呼吸系统疾病。   武汉不明原因肺炎最新进展   武汉市卫生健康委13日晚发布通报称，截至12日24时，武汉累计报告新型冠状病毒感染的肺炎病例41例，已治愈出院7例，在治重症6例，死亡1例，其余患者病情稳定。世卫组织在声明中说，在其他国家发现这种新型冠状病毒病例并不令人意外，并呼吁在其他国家继续做好监测等工作。   引起此次疫情的新型冠状病毒不同于已发现的人类冠状病毒，对该病毒的深入了解需要进一步科学研究。   中研普华利用多种独创的信息处理技术，对行业市场海量的数据进行采集、整理、加工、分析、传递，为客户提供一揽子信息解决方案和咨询服务，最大限度地降低客户投资风险与经营成本，把握投资机遇，提高企业竞争力。更多详细分析，请关注中研研究院研究出版的《2020-2025年中国医疗信息化行业现状分析与发展前景预测报告》 。
网站,海南航空、昆明航空为武汉发热旅客提供免费改期、退票,原标题：海南航空、昆明航空为武汉发热旅客提供免费改期、退票  【文/观察者网 徐乾昂】新型冠状病毒疫情陆续在全国多地传出确诊病例。海南航空、昆明航空、天津航空均已发布通告，对持武汉天河机场卫生所证明的旅客提供免费退票或改签服务。   1月21日，海南航空通过其官方微博发布声明，乘客须持加盖武汉天河机场卫生所印章的证明文件，在海南航空直属售票处或致电海航呼叫中心，办理免费改签。国内航线乘客可免费改签7天（含）内航班一次；国际航线乘客则可免费改签14天（含）航班一次。所有航线乘客，均可在客票有效期前往海南航空直属售票处，办理免费退票。   1月20日，昆明航空公司在其官方网站发布公告，针对近期武汉发生新型冠状病毒感染的肺炎疫情，为了配合疫情控制工作，昆明航空对持有加盖武汉天河机场卫生所印章证明文件（发热排查旅客误机证明）的旅客，可免费办理退票及改期业务。   今天天津航空也发布类似声明。   同时，去哪儿网、携程网两家旅行服务平台，今天也推出退改保障政策。被确诊为新型冠状病毒肺炎或因疑似新型冠状病毒肺炎被机场（港口）隔离劝返的用户，以及作为密切接触者的同行人，可免费取消去哪儿网、携程平台预订的度假类产品。   正值春运高峰期，据交通运输部统计，春运前10天（1月10日至19日），全国铁路、道路、水路、民航共发送旅客7.58亿人次，比去年同期增长2.5%。其中铁路发送旅客1.17亿人次，增长20.3%；道路发送旅客6.12亿人次；水路发送旅客884.1万人次，增长4.8%；民航发送旅客1913.0万人次，增长9.1%。   1月20日，春运进入第11天，全国铁路预计发送旅客1224万人次，同比增长19.8%。   本文系观察者网独家稿件，未经授权，不得转载。   最新网 www.zuinow.com 2020-01-21 16:18:52   旅客航空免费冠状病毒退票  声明：本网部分信息转载于其他网站，如稿件涉及版权等问题，请联系我们！  界面设计：洱海网(www.erhainews.com) 版权所有
网站,喝凉茶吃中药防肺炎？广东中医院辟谣防肺炎方案,原标题：喝凉茶吃中药防肺炎？假的！ 广东省中医院辟谣防肺炎方案  来源：21世纪经济报道新型冠状病毒不明肺炎事件持续升级，各类防治谣言四起。关于中药方防治肺炎和喝某凉茶防治肺炎的传言四起，今日广东省中医院辟谣所谓“药方”。此外华南某三甲中医院医生对21世纪经济报道记者表示抗病毒口服液、板蓝根之类如被感染了喝也没用，也并不能起到预防作用，以现在的情况来看，防治不明肺炎最有效的方法仍然是戴口罩、多洗手、勤通风。  点击进入专题：  武汉发生新型冠状病毒肺炎  责任编辑：杨杰
网站,如何预防新型冠状病毒肺炎？你可以这么做,【#如何预防新型冠状病毒肺炎#？你可以这么做】 记者从国家卫生健康委员会获悉，预防新型冠状病毒感染的肺炎，可以这么做：  （1）保持手卫生。咳嗽、饭前便后、接触或处理动物排泄物后，要用流水洗手，或者使用含酒精成分的免洗洗手液。  （2）保持室内空气的流通。避免到封闭、空气不流通的公众场所和人多集中地方，必要时请佩戴口罩。咳嗽和打喷嚏时使用纸巾或屈肘遮掩口鼻，防止飞沫传播。  （3）医院就诊或陪护就医时，一定要佩戴好合适的口罩。  （4）良好安全饮食习惯，处理生食和熟食的切菜板及刀具要分开，做饭时彻底煮熟肉类和蛋类。  （5）尽量避免在未加防护的情况下接触野生或养殖动物。（记者田晓航、温竞华 图片来源：健康中国）  【
网站,春节期间武汉酒店民宿订单可免责取消，住店客人被要求测体温,原标题：春节期间武汉酒店民宿订单可免责取消，住店客人被要求测体温  1月21日，包括亚朵、华住、Airbnb爱彼迎、途家等多家酒店民宿针对近期新型冠状病毒肺炎的疫情发布最新退改保障措施。目前来看，大部分国内酒店都对武汉区域订单给予了免费取消政策，与此同时，对当地酒店内部也进行疾病防控措施，包括对酒店住客测量体温，加强消毒力度，餐饮烹调要求全熟等，而外资酒店方面目前暂时没有具体方案公布。  此外，包括爱彼迎，途家等民宿平台也给出了特殊退订政策，对武汉房源实行免责取消政策。  澎湃新闻注意到，亚朵酒店发布的消息政策显示：  1.即日起至1月31日春节期间已经预定的武汉地区酒店订单，亚朵提供免费取消保障。  2.针对已入住或即将入住的用户，亚朵面向全国门店启动了12小时应急响应机制，引导入店客人体温检测，针对有异常客人要求门店及时通知医疗机构，必要时采取隔离措施。  3.全国所有门店的公共区域增加消毒力度，针对武汉区域的食品安全问题增加采购验收，要求餐饮部门对肉类、蛋类、禽类必须烹饪全熟，餐具必须二次消毒。  据澎湃新闻了解，亚朵集团旗下酒店在武汉的酒店品牌包括：亚朵酒店、亚朵S及亚朵轻居。而亚朵集团在全国门店的酒店品牌包括：亚朵酒店、亚朵轻居、ATOUR S HOTEL、ATOUR LAB等。  华住则向澎湃新闻表示，由于华住的日常会员政策也是18点前无忧取消，因此，通过华住会官方平台预订的客人，如需临时变更行程，在入住当天18:00之前均可免费取消订单，全额退款。  洲际酒店、希尔顿酒店等对此暂无具体方案。  洲际酒店回应澎湃新闻（www.thepaper.cn）称，旗下各酒店将根据客人的实际情况协助处理预定修改或取消事宜，“客人和员工的健康及安全是我们的重点关注”。  希尔顿酒店则表示，公司正在做形势分析。  除了酒店，民宿也对此作出相关回应。当日下午，Airbnb爱彼迎、途家民宿等也就新型冠状病毒疫情正式启动房源订单退订的特殊保障政策。  Airbnb爱彼迎指出：针对2020年1月21日-2020年1月31日期间武汉地区的房源预订订单，Airbnb爱彼迎将启动平台的“特殊退订政策”，对房客提供免责取消保障；同时，Airbnb爱彼迎对于被确诊为新型冠状病毒肺炎或因疑似感染新型冠状病毒被机场、港口、车站等公共机构劝返、隔离的房客或预订同行人，提供房源预订的免责取消保障。  途家民宿的退改保障政策也和Airbnb爱彼迎的退改政策相同。  近期，湖北省武汉市等多个地区发生新型冠状病毒感染的肺炎疫情。  据长江日报报道，1月20日，武汉市召开新型冠状病毒感染的肺炎疫情防控指挥部工作会议，省委副书记、市委书记马国强，市委副书记、市长周先旺出席会议。即日起，武汉市成立市新型冠状病毒感染的肺炎疫情防控指挥部，统一领导、指挥全市疫情防控工作。周先旺任指挥长。  指挥部工作会议指出，当前，新型冠状病毒感染的肺炎已纳入乙类传染病、采取甲类管理。确保疫情“早发现、早报告、早隔离、早治疗”。要及时公开透明向社会通报疫情态势和防控工作进展，统一发布权威信息，普及防控知识，最大限度消除社会恐慌。要启动战时值班备勤机制，对思想不重视、责任不落实、工作不到位、造成不良影响的依纪依规严肃追责问责。
网站,提醒|确诊219例，权威专家：春运期间这样防新型冠状病毒,截至20日18时，我国境内累计确诊新型冠状病毒肺炎病例219例。  数据截至1月20日18时  中国以外地区确认新型冠状病毒感染肺炎病例4例（日本1例，泰国2例，韩国1例）。中国香港、越南、新加坡等地也出现疑似病例，其中香港疑似病例数累计达到90例。  正值春运，大规模人群流动是否会导致疾病蔓延？如何预防新型冠状病毒感染？记者第一时间采访相关权威专家，针对大众关心的问题逐一解答。  受访专家  著名呼吸病学专家、解放军总医院呼吸科教授 刘又宁  中国疾病预防控制中心流行病学首席科学家 曾光  首都医科大学附属北京佑安医院感染一病房主任、主任医师  郭彩萍  北京大学基础医学院免疫学系教授、病原与免疫综合实验室主任  王月丹  新型冠状病毒5大疑问  1  此次疫情大规模流行的可能性大吗？  不会大范围散播，但春运的确会增加防控难度。  著名呼吸病学专家、解放军总医院呼吸科教授刘又宁表示，就目前掌握的资料来看，新型冠状病毒已具备致死性，虽然尚不能确定致死率，但其高危性或许低于SARS病毒，处于可防可控的状态。  郭彩萍强调，目前确诊的绝大多数是“武汉相关”的输入性病例，尚未发现明显的输入并播散现象，这说明新型冠状病毒并未在全国范围、短时间内播散开，算不上大规模传播。  2  为什么突然增加了这么多确诊病例？  湖北省医疗组专家、武汉市金银潭医院副院长、主任医师黄朝林在答记者问时说：“武汉市不明原因的病毒性肺炎被确定为新型冠状病毒感染所致后，国家相关科研机构迅速研发出病毒核酸检测试剂盒，随后进行技术优化。1月16日，湖北省疾病预防控制中心收到国家下发的试剂盒后，开始对武汉市送检的不明原因的病毒性肺炎患者标本进行病原学检测。”  核酸检测试剂盒能通过PCR的方法快速确定病例的样品中是否有特定的基因序列的存在，针对不同的病毒，可以开发不同的核酸检测试剂盒。但是这种检测需要建立在已知病毒的基础上，也就是说，已知的病毒相当于有了身份证，病例的样品只要一对比就可以判断。本次的病原体是新型冠状病毒，由于之前没有出现，我们没有它的“身份证”，所以无法快速判断。  近日，国家相关科研机构迅速研发出病毒核酸检测试剂盒，湖北省疾病预防控制中心收到国家下发的试剂盒后，开始对武汉市送检的不明原因的病毒性肺炎患者标本进行病原学检测，这才出现了“突然这么多病例”的情况。  3  病毒会在人与人之间传播吗？  国家卫健委高级别专家组组长、中国工程院院士钟南山表示，95%以上病例都跟武汉有关系，去过武汉，从武汉来，这是一个特点。第二个特点就是目前已经证实了有人传染，是在两个地区，一个在广东，一个在武汉。第三个特点也证实了有医务人员的感染。  4  新型冠状病毒的危害性究竟多大？  这次发现的新型冠状病毒与SARS冠状病毒和MERS冠状病毒有很大不同。新型冠状病毒虽然是SARS近亲，但还未表现出SARS那么可怕的特性。  早年参与过SARS防治研究工作的流行病毒学家王培忠表示，“学界判断一种病毒的危害性时，一般考虑两方面因素，一是致死率，二是传染性。相比SARS，2019-nCoV在这两方面都比较温和。”  5  如果不幸感染，会有什么症状？  郭彩萍表示，如果仅从现在定义的急性呼吸道传染病推断，飞沫传播应该是主要途径。  一般症状：发热、乏力、干咳、逐渐出现呼吸困难。部分患者起病症状轻微，可无发热。  严重者：急性呼吸窘迫综合征，脓毒症休克，难以纠正的代谢性酸中毒出凝血功能障碍。  多数患者为中轻症，预后良好，少数患者病情危重，甚至死亡。  春运路上如何严防感染？  春运途中：   戴口罩、勤洗手  1  制订行程避免颠簸   制订行程时，尽可能避免多次转车，要保证足够的休息时间，否则疲劳导致机体免疫力下降，无法抵抗病毒侵袭。  2  旅途中注意添衣保暖   提前查阅当地、目的地的气温，以便准备合适的衣物。而且室内外、车厢内外的温差较大，更要及时调整衣物，以免感冒。  3  佩戴N95口罩/医用外科口罩   戴口罩是阻断呼吸道分泌物传播的有效手段。如果发现周围有呼吸道传染病症状的患者，比如咳嗽、打喷嚏，最好戴上口罩。  口罩佩戴时，要将折面完全展开，将嘴、鼻、下颌完全包住，然后压紧鼻夹，使口罩与面部完全贴合。  戴口罩前应洗手，或者在戴口罩过程中避免手接触到口罩内侧面，减少口罩被污染的可能。  N95口罩  医用外科口罩  4  用香皂勤洗手  尽量用香皂勤洗手，如果条件不允许，可准备消毒湿巾或免洗洗手液。  春节期间：  食物做熟，少去拥挤的地方  春节期间大家免不了走亲串友，此时应尽量做到：  最好少去人群拥挤的地方，或记得戴上口罩。  外出归家后，尽快清洗双手，避免将病原体带给家人。  不要吃未经检疫的野生动物、生鲜等食品，比如路边摊售卖的肉食。  很多野生动物都可能携带病原体，成为某些传染病的传播媒介，果子狸、蝙蝠是冠状病毒的常见宿主，不要为了“尝鲜”而冒险。  在外旅行者也不要触碰野生动物，尤其是蝙蝠、土拨鼠等啮齿类动物，以免感染人畜共患病。  WHO发布新型冠状病毒防护指南  来源：人民日报、生命时报（ID：LT0385），记者：张芳、鲍捷、高阳 、王冰洁 、张筱悦、李爽、张健，综合：世界卫生组织、湖北省卫生计生宣教中心
网站,美团针对新型冠状病毒肺炎疫情推出旅行订单退改政策,原标题：美团针对新型冠状病毒肺炎疫情推出旅行订单退改政策 来源：界面新闻  1月21日，美团针对新型冠状病毒肺炎疫情推出旅行订单退改政策，具体如下：  1.即日起至1月31日，通过美团、大众点评预订的武汉市酒店、民宿、景区门票、度假的订单，均可联系客服免费取消。  2.被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场、港口、车站隔离劝返的用户，以及作为密切接触者的同行人，可免费取消通过美团、大众点评预订的酒店、民宿、景区门票、度假的订单。  3.针对已预订但未出行旅客的退票、改签需求，美团将与航空公司等产品提供方沟通，协助用户进行机票退改签服务，火车票也将和铁路部门的退改签政策保持一致。
